Station_ID        Label   Longitude     Latitude             East            North               Up
       217         C217 116.7597561  -26.8256036   -466.430140765    -97.681718424     -0.017794783
       218         C218 116.7605133 -26.82521484   -391.160082985    -54.604250108     -0.012221238
       219         C219  116.767651  -26.8278177    318.376295744   -343.001166888     -0.017206820
       220         C220 116.7672891 -26.82765479    282.401808530   -324.949749746     -0.014564053
       221         C221 116.7673298 -26.82721763    286.448722164   -276.512158241     -0.012449860
       222         C222  116.766967 -26.82782358    250.382843911   -343.651143686     -0.014212441
       223         C223 116.7675715 -26.82745917    310.474526868   -303.275554002     -0.014795492
       224         C224 116.7668773 -26.82748782    241.466872748   -306.448488385     -0.011964058
       225         E1-1 116.7627663 -26.82017705   -167.201513964    503.591549281     -0.022163923
       226         E1-2 116.7624285 -26.81991547   -200.783443148    532.574305660     -0.025497244
       227         E1-3 116.7627393 -26.81976351   -169.886262139    549.412032505     -0.026034913
       228         E1-4 116.7621333 -26.81972558   -230.130399144    553.613748086     -0.028287807
       229         E1-5 116.7629951 -26.81950173   -144.456840485    578.417753476     -0.027985212
       230         E1-6 116.7624133 -26.81922925   -202.295731643    608.607929557     -0.032378848
       231         E2-1 116.7575812 -26.82106002   -682.658835615    405.740498057     -0.049473813
       232         E2-2 116.7571411 -26.82075518   -726.411784320    439.514544048     -0.056551922
       233         E2-3 116.7582742 -26.82063137   -613.768969022    453.238759488     -0.045690669
       234         E2-4 116.7576853 -26.82062054   -672.312690889    454.435748573     -0.051674568
       235         E2-5 116.7572467 -26.82034479   -715.916479622    484.986644415     -0.058677034
       236         E2-6 116.7579644 -26.82030267   -644.568629997    489.657415034     -0.051431353
       237         E3-1 116.7530506 -26.82574525  -1133.006016998   -113.418884659     -0.101577574
       238         E3-2 116.7534118  -26.8257181  -1097.100318624   -110.407471241     -0.095251580
       239         E3-3 116.7525791 -26.82539971  -1179.880194290    -75.137077012     -0.109502199
       240         E3-4 116.7533349 -26.82533874  -1104.748430221    -68.374753690     -0.095978959
       241         E3-5 116.7529682 -26.82530981  -1141.201550811    -65.172530488     -0.102359067
       242         E3-6 116.7530614 -26.82497726  -1131.940048483    -28.324898429     -0.100438474
       243         E4-1 116.7520466 -26.83431587  -1232.718293261  -1063.060228205     -0.208050156
       244         E4-2 116.7524497 -26.83423445  -1192.651030937  -1054.034967519     -0.198932416
