#obsid (GPS seconds), beam elevation [deg], beam azimuth [deg], lst [hours], delay settings 
1061321664,69.166,270.0,1.497,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321792,69.166,270.0,1.533,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321912,69.166,270.0,1.566,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322032,69.166,270.0,1.6,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322152,69.166,270.0,1.633,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322280,69.166,270.0,1.669,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322400,69.166,270.0,1.702,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322520,69.166,270.0,1.736,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322640,69.166,270.0,1.769,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322768,69.166,270.0,1.805,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061322888,69.166,270.0,1.838,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061323008,69.166,270.0,1.872,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061323128,60.737,255.964,1.905,12;8;4;0;13;9;5;1;14;10;6;2;15;11;7;3
1061323256,60.737,255.964,1.941,12;8;4;0;13;9;5;1;14;10;6;2;15;11;7;3
1061323376,60.737,255.964,1.974,12;8;4;0;13;9;5;1;14;10;6;2;15;11;7;3
1061323496,60.737,255.964,2.008,12;8;4;0;13;9;5;1;14;10;6;2;15;11;7;3
